seed,interval_ms,total_batches,total_submitted_orders,total_fills,total_submitted_volume,total_cleared_volume,fill_rate_permille
101,10,226,273,2,2766,6,2
101,50,140,273,2,2766,6,2
101,100,93,273,2,2766,6,2
101,250,39,273,0,2766,0,0
101,500,20,273,0,2766,0,0
202,10,231,264,0,2725,0,0
202,50,152,264,0,2725,0,0
202,100,95,264,2,2725,3,1
202,250,40,264,0,2725,0,0
202,500,20,264,0,2725,0,0
303,10,241,288,0,3056,0,0
303,50,155,288,2,3056,1,0
303,100,95,288,5,3056,3,0
303,250,40,288,0,3056,0,0
303,500,20,288,0,3056,0,0
